Satellite,Position,Band,DL Frequency,Polarity,Description,SR,Modulation,FEC,VPID,UM,Spectrum Inversion,APID,PCR,Transport ID, Network ID,Service ID,4:2:2 Video,AC-3 Audio,Source,Updated,Updater,Encryption
AMC 1,103.00,C,3740,V,Deutsche Welle 1 (Audio),29270,QPSK, 7/8,,,Y,1520,,,,,,,Anonymous,08-08-02,rmortonc,
AMC 1,103.00,C,3740,V,Deutsche Welle 2 (Audio),29270,QPSK, 7/8,,,Y,1530,,,,,,,Anonymous,08-08-02,rmortonc,
AMC 1,103.00,C,3740,V,Deutsche Welle 7 (Audio),29270,QPSK, 7/8,,,Y,1532,,,,,,,Anonymous,08-08-02,rmortonc,
AMC 1,103.00,C,3740,V,Deutsche Welle,29270,QPSK, 7/8,1160,,Y,1130,1160,1,1,1,,,rmortonc,12-27-03,spyder,
AMC 1,103.00,C,3740,V,Deutsche Welle,29270,QPSK, 7/8,1160,on,A,1120,1160,1,1,1,,on,boblcape,01-27-05,,
AMC 1,103.00,C,3740,V,XY.TV,29270,QPSK, 7/8,1260,on,A,1220,1260,1,,10,,on,boblcape,09-08-04,boblcape,
AMC 1,103.00,C,3740,V,SES Demo,29270,QPSK, 7/8,1360,on,A,1320,1360,1,,11,,on,boblcape,09-08-04,boblcape,
AMC 1,103.00,C,3740,V,Cadena del Milagro,29270,QPSK, 7/8,1660,,A,1620,1660,1,,5,,,boblcape,07-30-04,,
AMC 1,103.00,C,3740,V,Sports Max,29270,QPSK, 7/8,1860,,A,1820,1870,1,1,8,,,boblcape,01-01-05,,on
AMC 1,103.00,C,3840,H,Cable Radio Network (CRN),26681,QPSK, 3/4,,,Y,302,,,,,,,Copykat,12-02-03,,
AMC 1,103.00,C,3840,H,Pax TV East,26681,QPSK, 3/4,100,,A,101,100,,,,,,Anonymous,12-02-03,Copykat,
AMC 1,103.00,C,3840,H,Feeds5,26681,QPSK, 3/4,1000,,A,1002,1000,,,,,,Copykat,09-28-02,Copykat,
