Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
EuroNews	DigiKabel RUS	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53218	1201	271	1201	1208	0	0	0	0	F0012715CFE204B10000	1208,Russian		
HITLISTE	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	150	784	105	0	784	0	0	0	0	00850002009603100000	784,German		
* Program #780 *	* TS #FFFF *	2	DVB-C	386012	2	6900000	0	2	1	1	65535	65535	780	780	3583	117	3583	3584	0	0	0	0	030CFFFF030C0DFF0000	3584,German		
MDR FIGARO	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28208	801	800	0	801	0	0	0	0	000104316E3003210000	801,German		
SWR2	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28214	1401	1400	0	1401	0	0	0	0	000104316E3605790000	1401,German		
MDR SACHSEN	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28228	401	2800	401	402	0	404	0	0	000104316E4401910000	402,German		
Fox Kids Play	DigiKabel TR	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53210	671	265	671	673	0	0	0	0	F0012711CFDA029F0000	673,Turkish		
ERT-Sat	DigiKabel	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53209	691	264	691	692	0	693	0	0	F0012711CFD902B30000	692,Greek, Modern		
EuroNews	DigiKabel GB	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53213	1201	266	1201	1203	0	0	0	0	F0012715CFDD04B10000	1203,English\1203,English		
MGM	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	515	767	102	767	768	0	0	0	0	00850011020302FF0000	768,German\769,German		
COUNTRY	PREMIERE	2	DVB-C	362012	2	6900000	0	2	2	1	3	65535	133	149	656	114	0	656	0	0	0	0	00850003009502900000	656,German		
* Program #242 *	* TS #FFFF *	2	DVB-C	362012	2	6900000	0	2	1	1	65535	65535	242	242	2559	103	2559	2560	2563	0	0	0	00F2FFFF00F209FF0000	2560,German\2561,German	2563,	
* Program #240 *	* TS #FFFF *	2	DVB-C	362012	2	6900000	0	2	1	1	65535	65535	240	240	2047	101	2047	2048	2051	0	0	0	00F0FFFF00F007FF0000	2048,German\2049,German	2051,	
* Program #210 *	* TS #FFFF *	2	DVB-C	378012	2	6900000	0	2	1	1	65535	65535	210	210	2303	111	2303	2304	2307	0	0	0	00D2FFFF00D208FF0000	2304,German\2305,German	2307,	
* Program #209 *	* TS #FFFF *	2	DVB-C	378012	2	6900000	0	2	1	1	65535	65535	209	209	3327	109	3327	3328	3331	0	0	0	00D1FFFF00D10CFF0000	3328,German\3329,German	3331,	
DLF-Köln	ZDFvision	2	DVB-C	394012	2	6900000	0	2	2	0	1079	65535	1	28013	810	800	0	810	0	0	0	0	000104376D6D032A0000	810,		
EinsMuXx	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28203	301	300	301	302	0	0	0	0	000104316E2B012D0000	302,German		
Fox Kids Play	DigiKabel RUS	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53207	671	262	671	672	0	0	0	0	F0012711CFD7029F0000	672,Russian		
ATV 2	DigiKabel TR	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53203	631	258	631	632	0	633	0	0	F0012711CFD302770000	632,Turkish		
Al moagehat	ERTU	2	DVB-C	466012	2	6900000	0	2	2	0	9100	65535	318	8995	1184	1189	0	1190	0	0	0	0	013E238C232304A00000	1190,Arabic		
BibelTV	DigiKabel D	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53403	731	258	731	732	0	0	0	0	F0012714D09B02DB0000	732,German		
DISCOVERY CHANNEL	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	14	1023	105	1023	1024	0	0	0	0	00850011000E03FF0000	1024,German		
PREMIERE 2	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	11	1791	103	1791	1792	1795	0	0	0	00850002000B06FF0000	1792,German\1793,German	1795,	
PREMIERE 1	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	10	511	101	511	512	515	0	0	0	00850002000A01FF0000	512,German\513,German\512,German\513,German	515,\515,	
PREMIERE 7	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	20	1023	104	1023	1024	0	0	0	0	00850002001403FF0000	1024,German\1024,German		
LOVE SONGS	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	156	592	121	0	592	0	0	0	0	00850002009C02500000	592,German		
GOLD	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	166	320	115	0	320	0	0	0	0	0085000200A601400000	320,German		
PREMIERE NOSTALGIE	PREMIERE	2	DVB-C	378012	2	6900000	0	2	1	1	4	65535	133	516	2559	106	2559	2560	0	0	0	0	00850004020409FF0000	2560,German		
SR Fernsehen Südwest	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28110	501	500	501	502	0	504	0	0	0001044D6DCE01F50000	502,German		
Bayerisches FS	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28107	201	200	201	202	0	204	0	0	0001044D6DCB00C90000	202,German		
NordwestRadio	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28128	3801	3800	0	3801	0	0	0	0	0001044D6DE00ED90000	3801,German		
NDR FS HH	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28225	2401	2500	2401	2402	0	2404	0	0	000104316E4109610000	2402,German		
Nashe Kino	DigiKabel RUS	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53202	621	257	621	622	0	0	0	0	F0012711CFD2026D0000	622,Russian		
EuroNews	DigiKabel P	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53217	1201	270	1201	1207	0	0	0	0	F0012715CFE104B10000	1207,Portuguese		
OLD GOLD	PREMIERE	2	DVB-C	362012	2	6900000	0	2	2	1	3	65535	133	167	336	113	0	336	0	0	0	0	0085000300A701500000	336,German		
