Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
Q	EMAP	3	DVB-T	642000	1	6900000	1	2	2	0	24576	65535	9018	26688	1901	1029	0	1901	0	0	4002	0	233A60006840076D0000	1901,English		
QVC	QVC	3	DVB-T	762000	1	6900000	1	2	8449	0	12290	65535	9018	13120	2304	263	6049	6050	0	0	0	0	233A3002334009000000	6050,English		
701	BBC	3	DVB-T	786000	1	6900000	1	2	1	0	16384	65535	9018	19456	203	710	203	407	0	0	315	0	233A40004C0000CB0000	407,English\408,Undetermined		
MOJO	EMAP	3	DVB-T	762000	1	6900000	1	2	2	0	12290	65535	9018	14656	2304	282	0	6322	0	0	6328	0	233A3002394009000000	6322,English		
CBBC Channel	BBC	3	DVB-T	618000	1	6900000	1	2	15617	0	4106	65535	9018	4671	620	4671	620	621	0	0	1021	0	233A100A123F026C0000	621,English\622,English		
The Hits Radio	EMAP	3	DVB-T	642000	1	6900000	1	2	2	0	24576	65535	9018	26560	1701	1027	0	1701	0	0	4002	0	233A600067C006A50000	1701,English		
The HITS	EMAP	3	DVB-T	642000	1	6900000	1	2	9473	0	24576	65535	9018	25664	101	1001	101	102	0	0	107	0	233A6000644000650000	102,English		
UKHistory	UKTV	3	DVB-T	666000	1	6900000	1	2	6401	0	20480	65535	9018	22272	401	704	401	402	0	0	0	0	233A5000570001910000	402,English\404,English\402,English\404,English		
1Xtra BBC	BBC	3	DVB-T	786000	1	6900000	1	2	2	0	16384	65535	9018	18176	434	708	0	434	0	0	323	0	233A4000470001B20000	434,English		
bid-up.tv	Sit-Up Ltd	3	DVB-T	762000	1	6900000	1	2	12033	0	12290	65535	9018	14272	2304	276	6273	6274	0	0	0	0	233A300237C009000000	6274,English		
BBC NEWS 24	BBC	3	DVB-T	618000	1	6900000	1	2	20737	0	4106	65535	9018	4415	640	4415	640	641	0	0	1016	0	233A100A113F02800000	641,English		
BBC PARLMNT	BBC	3	DVB-T	786000	1	6900000	1	2	2	0	16384	65535	9018	16768	202	701	0	403	0	0	313	0	233A4000418000CA0000	403,English		
ITV 1	ITV	3	DVB-T	730000	1	6900000	1	2	1793	0	8218	65535	9018	8282	8190	257	514	652	0	0	1081	0	233A201A205A1FFE0000	652,English\662,English		
BBC TWO	BBC	3	DVB-T	618000	1	6900000	1	2	1281	0	4106	65535	9018	4234	610	4234	610	611	0	0	1010	0	233A100A108A02620000	611,English\612,English		
CBeebies	BBC	3	DVB-T	786000	1	6900000	1	2	16129	0	16384	65535	9018	16960	201	703	201	401	0	0	311	0	233A4000424000C90000	401,English\402,English\401,English\402,English		
702	BBC	3	DVB-T	786000	1	6900000	1	2	1	0	16384	65535	9018	19520	204	711	204	411	0	0	317	0	233A40004C4000CC0000	411,English		
Teletext	Teletext Ltd	3	DVB-T	730000	1	6900000	1	2	4865	0	8218	65535	9018	8563	8190	261	0	0	0	0	1091	0	233A201A21731FFE0000			
jazz fm	GMG	3	DVB-T	642000	1	6900000	1	2	2	0	24576	65535	9018	26368	1401	1024	0	1401	0	0	4000	0	233A6000670005790000	1401,English		
