Satellite,Band,Frequency,Link Frequency,Polarity,Generic,VC,Description,SR,FEC,Service Number,Bitstream,Source,Updated,Updater,Encryption,RotateLNB
AMC 1,C,3740,1410,V,CE,126,PBS Kids,29270, 3/4,7,I,eph2,01-08-05,eph2,ZKorFP,
AMC 1,C,3740,1410,V,CE,137,PBS MCR 1 Sch 501,29270, 3/4,8,Q,eph2,01-08-05,eph2,ZKorFP,
AMC 1,C,3740,1410,V,CE,138,PBS MCR 2 Sch 502,29270, 3/4,9,Q,eph2,01-08-05,eph2,ZKorFP,
AMC 1,C,3740,1410,V,CE,139,PBS MCR 4 Sch 503,29270, 3/4,10,Q,eph2,01-08-05,eph2,ZKorFP,
AMC 1,C,3760,1390,H,CE,140,PBS feeds,29270, 3/4,11,I,carl,11-21-04,carl,ZKorFP,
AMC 1,C,3760,1390,H,CE,141,PBS feeds,29270, 3/4,12,I,carl,11-21-04,carl,ZKorFP,
AMC 1,C,3760,1390,H,CE,142,SCETV feeds,29270, 3/4,13,I,carl,11-21-04,carl,ZKorFP,
AMC 1,C,3760,1390,H,CE,146,PBS Kids,29270, 3/4,7,I,eph2,01-08-05,eph2,ZKorFP,
AMC 1,C,3760,1390,H,CE,157,PBS Schedule 501,29270, 3/4,8,Q,carl,11-21-04,carl,ZKorFP,
AMC 1,C,3760,1390,H,CE,158,PBS Schedule 502,29270, 3/4,9,Q,carl,11-21-04,carl,ZKorFP,
AMC 1,C,3760,1390,H,CE,159,PBS Adult Learning Service,29270, 3/4,10,Q,carl,11-21-04,carl,ZKorFP,
AMC 1,C,3760,1390,H,,600,PBSX,29270, 3/4,7,I,DRLev,09-07-02,elm_sd,ZKorFP,
AMC 1,C,3780,1370,V,CE,164,Fox Sports Overflow 3,29270, 7/8,25,I,artphill,09-07-02,elm_sd,MP,
AMC 1,C,3780,1370,V,CE,175,Fox Sports Overflow 4,29270, 7/8,26,Q,artphill,09-07-02,elm_sd,MP,
